Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net Prof Loss
04/01/2021,WDOG21,18.0,5224.3333333333285,18.0,5200.9166666666715,5250.6669999999995,5.2407,5.1805,0.0,0.0,-4214.999999998254,3.6,1.05,,43.08103800000001,-4261.681037998254
05/01/2021,WDOG21,20.0,5266.0,20.0,5267.5,5268.022,5.2659,5.1805,0.0,0.0,300.0,4.0,1.05,,47.86782,248.13218
06/01/2021,WDOG21,20.0,5308.25,20.0,5312.5,5260.854,5.2641,5.1805,0.0,-0.0,850.0,4.0,1.05,,47.86782,798.13218
07/01/2021,WDOG21,50.0,5408.0,50.0,5385.2,5395.825,5.3863,5.1805,0.0,0.0,-11400.000000000091,10.0,1.05,,119.66955,-11529.669550000091
11/01/2021,WDOG21,125.0,5492.2,125.0,5485.16,5482.526999999999,5.4921,5.1805,0.0,0.0,-8799.999999999955,25.0,1.05,,299.173875,-9124.173874999955
13/01/2021,WDOG21,80.0,5325.75,50.0,5317.6,5306.1,5.3125,5.1805,30.0,-0.0,-9969.999999999709,13.0,1.05,,155.57041500000003,-10138.57041499971
14/01/2021,WDOG21,40.0,5290.25,70.0,5253.21428571429,5199.107,5.1989,5.1805,0.0,-32097.900000000118,1417.9000000029191,11.0,1.05,,131.636505,-30822.636504997197
18/01/2021,WDOG21,75.0,5271.97333333333,125.0,5266.9,5292.8859999999995,5.281000000000001,5.1805,-50.0,0.0,-16797.9999999975,20.0,1.05,,239.3391,-17057.3390999975
19/01/2021,WDOG21,0.0,0.0,0.0,0.0,5349.451,5.3533,5.1805,-50.0,-28282.500000000255,0.0,0.0,1.05,,0.0,-28282.500000000255
20/01/2021,WDOG21,0.0,0.0,0.0,0.0,5318.778,5.3166,5.1805,-50.0,15336.499999999887,0.0,0.0,1.05,,0.0,15336.499999999887
21/01/2021,WDOG21,0.0,0.0,0.0,0.0,5366.915,5.3725,5.1805,-50.0,-24068.499999999858,0.0,0.0,1.05,,0.0,-24068.499999999858
22/01/2021,WDOG21,0.0,0.0,0.0,0.0,5466.584,5.465,5.1805,-50.0,-49834.499999999935,0.0,0.0,1.05,,0.0,-49834.499999999935
26/01/2021,WDOG21,0.0,0.0,0.0,0.0,5347.228,5.3514,5.1805,-50.0,59677.99999999988,0.0,0.0,1.05,13.923809523809522,0.0,59677.99999999988
27/01/2021,WDOG21,0.0,0.0,0.0,0.0,5390.0869999999995,5.377999999999999,5.1805,-50.0,-21429.499999999734,0.0,0.0,1.05,13.923809523809522,0.0,-21429.499999999734
28/01/2021,WDOG21,0.0,0.0,0.0,0.0,5436.305,5.4287,5.1805,-50.0,-23109.00000000038,0.0,0.0,1.05,13.923809523809522,0.0,-23109.00000000038
29/01/2021,WDOG21,0.0,0.0,0.0,0.0,5475.9,5.4759,5.1805,-50.0,-19797.499999999673,0.0,0.0,1.05,13.923809523809522,0.0,-19797.499999999673
01/02/2021,WDOG21,0.0,0.0,50.0,5475.9,5475.9,5.4635,5.4759,-100.0,0.0,0.0,5.0,1.05,10.285714285714286,63.24664500000001,-68.246645
